datetime,Hits,PropertyAddress,PropertyDetail,PropertyId,AssessmentSnapshot,AreaAPIStateLookup,AssessmentDetail,SalesHistorySnapshot,SalesHistoryDetail,SalesSnapshot,SalesDetail,AVMSnapshot,AVMDetail,PropertySnapshot,Assessment,SalesHistory,Sales,AVM,Property,AllEvents,AllEventsDetail,AllEventsSnapshot,AlteryxGeoCoder,AreaAPIBoundaryDetail,AreaAPICBSALookup,AreaAPICountyLookup,AreaAPIHierarchyLookup,POISearchBusinessCategoryLookup,POISearchLOBLookup,POISearchSortableColumnLookup,POISearchStreetAddress,POISearchPoint,POISearchGeography,CommunityAPIAreaFull,CommunityAPIAttributeLookup,PropertyDetailMortgage,PropertyDetailOwner,PropertyDetailMortgageOwner,SchoolDetail,SchoolSnapshot,PropertyDetailWithSchools,SalesTrendSnapshot,SchoolDistrictDetail,AreaAPIGeoIdLookup,AssessmentHistoryDetail,PropertyBasicProfile,PropertyExpandedProfile,SalesHistoryBasicHistory,SalesHistoryExpandedHistory,AttomAVMDetail,AVMDetailInternal,MelissaGeoCoder,GeoCoder,BasicProfileV2,AVMReportV2,BasicHistoryV2,ExpandedHistoryV2,ExpandedProfileV2,PropertySearchV2,ATTOMizedAVMV2,SalesComparablesV2,AirportsV2,AirQualityV2,BrownfieldsV2,CollegesV2,CrimeV2,DistrictSchoolsV2,DruglabsV2,EarthquakeProbabilityV2,EconomicsInfoV2,FireStationsV2,HospitalsV2,LibrariesV2,NursingHomesV2,PoliceStationsV2,PoliticalV2,PollutersV2,PrivateSchoolsV2,RadonV2,SchoolsV2,SchoolDetailsV2,SchoolGradesV2,TornadoesV2,UnemploymentV2,UVIndexInfoV2,WeatherInfoV2,PreForeclosureDetailsV3,DemographicsV2,EnumerationsDetail,AVMHistoryDetail,TransaportationNoise,AddressMatch,ValuationHomeEquity,PropertyBuildingPermits
03May202222:00:00PDT,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03May202223:00:00PDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04May202200:00:00PDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04May202201:00:00PDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04May202202:00:00PDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04May202203:00:00PDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04May202204:00:00PDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04May202205:00:00PDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04May202206:00:00PDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04May202207:00:00PDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
