,,,,,
,US,bushwick,east harlem,canarsie,south shore
04/2017,261,984,760,525,549
05/2017,268,999,760,530,544
06/2017,276,1017,667,460,540
07/2017,272,975,657,460,530
08/2017,270,975,659,455,545
09/2017,267,974,695,520,555
10/2017,267,983,799,573,564
11/2017,269,999,765,528,560
12/2017,270,1025,765,521,550
01/2018,263,1015,910,560,552
02/2018,267,995,905,582,570
03/2018,276,990,703,585,582
04/2018,279,960,716,561,599
05/2018,286,697,735,552,600
06/2018,291,672,825,565,590
07/2018,286,697,765,544,600
08/2018,283,927,791,550,596
09/2018,277,975,829,550,597
10/2018,276,930,818,600,571
11/2018,277,965,900,590,595
12/2018,276,927,739,595,600
01/2019,271,926,786,550,600
02/2019,274,863,664,580,591
03/2019,282,920,667,575,582
04/2019,288,915,665,599,586
05/2019,297,1030,780,555,593
06/2019,301,998,878,538,580
07/2019,298,1100,877,597,605
08/2019,295,900,918,610,605
09/2019,291,850,870,620,612
10/2019,292,780,870,630,587
11/2019,293,680,764,646,576
12/2019,294,611,665,630,575
01/2020,288,1035,711,592,575
02/2020,293,1035,772,580,580
03/2020,301,964,825,585,588
04/2020,302,918,810,585,595
05/2020,298,905,825,625,584
06/2020,310,980,729,621,600
07/2020,322,850,729,628,589
08/2020,326,822,677,642,607
09/2020,330,950,760,640,590
10/2020,334,1025,765,618,590
11/2020,332,999,585,627,585
12/2020,332,950,635,650,553
01/2021,329,930,635,650,600
02/2021,335,915,783,649,610
03/2021,351,900,1000,649,620
04/2021,367,790,850,650,618
05/2021,375,881,695,649,630
06/2021,385,881,583,647,640
07/2021,383,887,685,670,650
08/2021,379,850,679,670,650
09/2021,375,852,526,710,655
10/2021,378,867,820,700,650
11/2021,382,990,760,750,655
12/2021,381,995,705,710,655
01/2022,376,1035,795,750,672
02/2022,388,1091,1022,752,675
03/2022,412,1155,1017,827,689
